Index,Movie,Reco
2899,Welcome to Collinwood,"['CJ7', 'The Cottage', 'The Life Before Her Eyes', 'Conquest of the Planet of the Apes', 'Mr. Nice Guy', 'The Quiet']"
2900,Critical Care,"['Forty Shades of Blue', 'The Hotel New Hampshire', 'Men with Brooms', 'A Dog of Flanders', 'Snow White: A Tale of Terror', 'Blue Like Jazz']"
2901,The Life Before Her Eyes,"['The Quiet', 'The Cottage', 'Welcome to Collinwood', 'CJ7', 'Conquest of the Planet of the Apes', 'Beneath the Planet of the Apes']"
2902,Darling Companion,"['Thr3e', 'The Adventurer: The Curse of the Midas Box', ""It's a Wonderful Afterlife"", 'Peeples', 'The Clan of the Cave Bear', 'Meteor']"
2903,Trade,"['Peaceful Warrior', 'Molière', 'Catch-22', 'Standard Operating Procedure', 'Hud', 'The Children of Huang Shi']"
2904,Fateless,"['Steamboy', 'Princess Mononoke', 'Godzilla 2000', 'Akira', 'Kabhi Alvida Naa Kehna', 'Lady Vengeance']"
2905,Breakfast of Champions,"['The Prince', 'The Whole Ten Yards', 'Hudson Hawk', 'The Story of Us', 'The Kid', 'Mercury Rising']"
2906,"A Woman, a Gun and a Noodle Shop","['The Reef', 'Battle for the Planet of the Apes', 'Skin Trade', 'White Noise 2: The Light', 'Girl House', 'Prophecy']"
2907,Cypher,"['East Is East', 'The Perfect Host', 'Morvern Callar', 'Real Women Have Curves', 'Class of 1984', 'The Lost Skeleton of Cadavra']"
2908,City of Life and Death,"['The Good, the Bad, the Weird', 'Manderlay', 'In Cold Blood', ""Barney's Version"", 'The House of Mirth', 'Race']"
2909,Home,"['Home', 'Home', 'Ice Age: Continental Drift', 'Puss in Boots', 'Jumper', 'Bad Teacher']"
2910,Legend of Kung Fu Rabbit,"['Without Men', 'Royal Kill', 'Independence Daysaster', 'The Walking Deceased', 'AWOL-72', 'Navy Seals vs. Zombies']"
2911,Space Battleship Yamato,"['Bathory: Countess of Blood', 'Darling Lili', 'The Magic Flute', 'Solomon and Sheba', 'Bobby Jones: Stroke of Genius', 'Remember Me, My Love']"
2912,5 Days of War,"['The Adventures of Ford Fairlane', '12 Rounds', 'Cutthroat Island', 'Prison', 'Mindhunters', 'The Covenant']"
2913,Triangle,"['Away We Go', 'Harry Brown', 'Dogtooth', 'The NeverEnding Story', 'Blue Ruin', 'Draft Day']"
2914,Heaven Is for Real,"['My Big Fat Greek Wedding 2', 'Friday the 13th Part III', 'The Last Song', 'Premonition', 'The Boy', 'Legion']"
2915,Snatch,"['Lock, Stock and Two Smoking Barrels', 'The Italian Job', 'The Expendables', 'The Expendables 3', 'The Transporter', 'Crank']"
2916,Pet Sematary,"['Get Shorty', 'Clueless', 'Harold & Kumar Escape from Guantanamo Bay', 'Jackass Number Two', 'The Family Stone', 'Footloose']"
2917,Madadayo,"['Journey from the Fall', 'As It Is in Heaven', 'The Visual Bible: The Gospel of John', 'Character', 'Sunshine State', 'Aimee & Jaguar']"
2918,The Cry of the Owl,"['Princess Kaiulani', 'Desert Dancer', 'Tidal Wave', 'Machine Gun McCain', 'Zipper', 'Three Kingdoms: Resurrection of the Dragon']"
2919,Gremlins,"['Marley & Me', 'Enchanted', 'Disturbia', 'Disturbia', 'Grease', 'Identity']"
2920,Star Wars: Episode IV - A New Hope,"['Star Wars: Episode V - The Empire Strikes Back', 'Star Wars: Episode VI - Return of the Jedi', ""Ender's Game"", 'Apocalypse Now', 'The Fugitive', 'Anchorman 2: The Legend Continues']"
2921,Dirty Grandpa,"['Red Lights', 'Hide and Seek', '15 Minutes', ""Everybody's Fine"", ""New Year's Eve"", 'Righteous Kill']"
2922,Doctor Zhivago,"['The Abyss', 'The Great Escape', ""It's a Mad, Mad, Mad, Mad World"", 'Ray', 'The Last Emperor', 'My Fair Lady']"
2923,Trash,"['Exiled', 'Imaginary Heroes', 'Loose Cannons', 'Flash of Genius', 'Coming Home', 'The Andromeda Strain']"
2924,High School Musical 3: Senior Year,"['Herbie Fully Loaded', ""Big Momma's House"", 'Nutty Professor II: The Klumps', 'Christmas with the Kranks', 'Daddy Day Care', 'Hop']"
2925,The Fighter,"['American Psycho', 'Terminator Salvation', 'Equilibrium', '3:10 to Yuma', 'The Machinist', ""Howl's Moving Castle""]"
2926,Jackass Number Two,"['Babe', 'Clueless', 'Pet Sematary', 'Just Like Heaven', 'Harold & Kumar Escape from Guantanamo Bay', 'Police Academy']"
2927,My Cousin Vinny,"['Freedom Writers', 'Frida', 'The Piano', 'Boyz n the Hood', 'Chariots of Fire', 'Mallrats']"
2928,If I Stay,"['Trouble with the Curve', 'Self/less', 'Pandorum', 'Burnt', 'The Runaways', 'Adventureland']"
2929,Major League,"['White Oleander', 'Radio', 'Young Guns', 'Bulworth', 'Take the Lead', 'Shine']"
2930,St. Trinian's,"['Return of the Living Dead III', 'How to Deal', 'Harley Davidson and the Marlboro Man', 'Harriet the Spy', 'Witchboard', 'Not Easily Broken']"
2931,Phone Booth,"['The Number 23', 'The Lost Boys', 'Batman Forever', 'Batman & Robin', 'The Client', 'Veronica Guerin']"
2932,A Walk to Remember,"['Garden State', 'Identity', 'Blade', 'Gattaca', 'Chocolat', 'United 93']"
2933,Dead Man Walking,"['The Piano', 'Ordinary People', 'The Verdict', 'Chariots of Fire', 'Boyz n the Hood', 'Mallrats']"
2934,Cruel Intentions,"['Role Models', 'When Harry Met Sally...', 'Clerks II', 'The Girl Next Door', 'Cube', 'The Prince of Egypt']"
2935,Saw VI,"['Friday the 13th: The Final Chapter', '40 Days and 40 Nights', 'The Hunted', 'Halloween 4: The Return of Michael Myers', 'Johnny English', ""Mr. Bean's Holiday""]"
2936,History of the World: Part I,"['Defendor', 'The Broken Hearts Club: A Romantic Comedy', 'Detroit Rock City', 'Imagine Me & You', 'Quinceañera', 'The Greatest']"
2937,The Secret Life of Bees,"['Blow Out', 'Akeelah and the Bee', 'The Upside of Anger', 'Gods and Monsters', 'Dressed to Kill', ""Sarah's Key""]"
2938,Corky Romano,"['A Haunted House 2', ""My Boss's Daughter"", 'Soul Plane', 'Hoodwinked Too! Hood vs. Evil', 'Confessions of a Teenage Drama Queen', 'The Vatican Tapes']"
2939,Raising Cain,"['Two Can Play That Game', ""Let's Go to Prison"", 'The Wraith', 'Katy Perry: Part of Me', 'Love Stinks', 'Witchboard']"
2940,F.I.S.T.,"['Nighthawks', 'Daylight', 'The Specialist', 'Tango & Cash', 'Get Carter', 'Eye See You']"
2941,Invaders from Mars,"['Prophecy', 'Girl House', 'I Hope They Serve Beer in Hell', 'Skin Trade', 'The Haunting in Connecticut 2: Ghosts of Georgia', 'Battle for the Planet of the Apes']"
2942,Brooklyn,"['Philomena', 'Begin Again', 'Wild', 'We Need to Talk About Kevin', 'American Reunion', 'The Hundred-Foot Journey']"
2943,Barry Lyndon,"['The Right Stuff', 'The Great Escape', 'Patton', 'Judgment at Nuremberg', 'Baahubali: The Beginning', 'The Bridge on the River Kwai']"
2944,Out Cold,"['Two Can Play That Game', 'Fortress', 'Dirty Work', 'Raising Cain', 'The Wraith', 'Dead Man on Campus']"
2945,The Ladies Man,"['Superstar', 'Drowning Mona', 'The Wendell Baker Story', 'Casa de mi Padre', 'A Night at the Roxbury', 'Curious George']"
2946,Quartet,"['The Awakening', 'Leap Year', 'Away We Go', 'Risen', 'Blue Ruin', 'Johnny English Reborn']"
2947,Tomcats,"['Boys and Girls', 'The Guru', 'Serving Sara', 'Sorority Boys', 'Donkey Punch', 'See Spot Run']"
2948,Frailty,"['Bernie', 'Killer Joe', 'How to Lose a Guy in 10 Days', 'U-571', 'We Are Marshall', 'Free State of Jones']"
2949,Woman in Gold,"['A Single Man', 'Concussion', 'Seeking a Friend for the End of the World', 'My Week with Marilyn', 'Me Before You', 'The Imaginarium of Doctor Parnassus']"
2950,Kinsey,"['K-19: The Widowmaker', 'Rob Roy', 'Run All Night', 'The Bounty', 'A Walk Among the Tombstones', 'Chloe']"
2951,Army of Darkness,"['The Evil Dead', 'A Simple Plan', 'Evil Dead II', 'Drag Me to Hell', 'Oz the Great and Powerful', 'Oz the Great and Powerful']"
2952,Slackers,"['Miss March', 'The Forsaken', 'The Man', 'Glee: The 3D Concert Movie', ""Tim and Eric's Billion Dollar Movie"", ""Max Keeble's Big Move""]"
2953,What's Eating Gilbert Grape,"['Finding Neverland', 'Donnie Brasco', 'Blow', 'From Hell', 'Fear and Loathing in Las Vegas', 'A Nightmare on Elm Street']"
2954,The Visual Bible: The Gospel of John,"['Character', 'Madadayo', 'As It Is in Heaven', 'Aimee & Jaguar', 'Journey from the Fall', 'Limbo']"
2955,Vera Drake,"['The Wind That Shakes the Barley', 'The Namesake', 'The Man Who Shot Liberty Valance', 'The Red Violin', 'Midnight Cowboy', 'Dead Man Walking']"
2956,The Guru,"['Sorority Boys', 'C.H.U.D.', 'Tomcats', 'Donkey Punch', ""Tim and Eric's Billion Dollar Movie"", 'Drive Me Crazy']"
2957,The Perez Family,"['The Last Sin Eater', 'The Inkwell', 'Letters to God', 'March or Die', 'Living Dark: The Story of Ted the Caver', 'The Basket']"
2958,Inside Llewyn Davis,"['Shame', 'Paul', 'Philomena', 'We Need to Talk About Kevin', 'Brooklyn', 'Seven Psychopaths']"
2959,O,"['Idle Hands', 'Made', 'Cat People', 'The Big Hit', 'Hamlet 2', 'Solitary Man']"
2960,Return to the Blue Lagoon,"['My Stepmother Is an Alien', 'People I Know', 'Hoot', 'Sleepover', 'Baggage Claim', 'Action Jackson']"
2961,The Molly Maguires,"['Beneath Hill 60', 'Harper', 'To Save a Life', 'Bobby Jones: Stroke of Genius', 'Blood Done Sign My Name', 'Courage']"
2962,Romance & Cigarettes,"[""All the King's Men"", 'Iris', 'Triple 9', 'Quills', 'Little Children', 'Carnage']"
2963,Copying Beethoven,"['Underdogs', 'Dragonslayer', 'The Hunting Party', 'Snow Angels', 'Renaissance', ""Jesus' Son""]"
2964,Poltergeist,"['Poltergeist', 'Shooter', 'Dark City', 'United 93', '30 Days of Night', 'Blade']"
2965,Brighton Rock,"['The Extra Man', 'Mad Money', 'School for Scoundrels', 'Sparkle', ""The Warrior's Way"", 'The Corruptor']"
2966,Saw V,"['Ghost Ship', 'Johnny English', '13 Going on 30', 'Saw IV', ""Mr. Bean's Holiday"", 'Wrong Turn']"
2967,Machine Gun McCain,"['Princess Kaiulani', 'The Cry of the Owl', 'August', 'Gunless', 'Madison', 'Nothing']"
2968,LOL,"['Getaway', 'DOA: Dead or Alive', 'The Canyons', 'They', 'Anacondas: The Hunt for the Blood Orchid', 'Lost Souls']"
2969,Jindabyne,"[""Won't Back Down"", 'Switchback', 'Harlock: Space Pirate', 'Dark Blue', 'Idlewild', 'Bon voyage']"
2970,Kabhi Alvida Naa Kehna,"['Red Cliff', 'The Messenger: The Story of Joan of Arc', 'The Postman', 'Wyatt Earp', 'Akira', 'Waterworld']"
2971,An Ideal Husband,"['Kissing Jessica Stein', 'Repo Man', 'Mirrormask', 'May', 'East Is East', 'Bottle Rocket']"
2972,The Last Days on Mars,"['Blood and Chocolate', 'The Banger Sisters', 'And So It Goes', 'Win a Date with Tad Hamilton!', 'Dickie Roberts: Former Child Star', 'Laws of Attraction']"
2973,Darkness,"['Bulletproof Monk', 'Whiteout', 'The Stepfather', 'Eye of the Beholder', 'The Back-up Plan', 'Drillbit Taylor']"
2974,2001: A Space Odyssey,"['Braveheart', 'Aliens', 'There Will Be Blood', 'The Shining', 'Amélie', 'Sin City']"
2975,E.T. the Extra-Terrestrial,"['Jaws', 'Jurassic Park', 'A.I. Artificial Intelligence', 'Lincoln', 'The Lost World: Jurassic Park', 'The Adventures of Tintin']"
2976,In the Land of Women,"['A Home at the End of the World', 'Endless Love', 'Easy Virtue', 'When Did You Last See Your Father?', 'The Importance of Being Earnest', 'The Prophecy']"
2977,The Blue Butterfly,"['Come Early Morning', 'A Dog of Flanders', 'Stiff Upper Lips', 'The Betrayed', 'Iguana', 'The Incredibly True Adventure of Two Girls in Love']"
2978,There Goes My Baby,"['Bang', 'Krush Groove', 'Jimmy and Judy', 'Newlyweds', 'The Singles Ward', 'Grace Unplugged']"
2979,Housefull,"['Ta Ra Rum Pum', 'Chocolate: Deep Dark Secrets', 'Dum Maaro Dum', 'Amigo', 'Miss Julie', 'Pandaemonium']"
2980,September Dawn,"['Kama Sutra: A Tale of Love', 'Blue Like Jazz', 'Love Ranch', ""The Caveman's Valentine"", 'Poetic Justice', 'Forty Shades of Blue']"
2981,For Greater Glory: The True Story of Cristiada,"['Bodyguards and Assassins', 'The Egyptian', 'Hoffa', 'The Horseman on the Roof', 'Waterloo', 'Major Dundee']"
2982,La Famille Bélier,"['Mad Hot Ballroom', 'Under the Same Moon', 'The Gatekeepers', 'The Cure', 'Beyond the Mat', 'The Dangerous Lives of Altar Boys']"
2983,Good Will Hunting,"['Dead Poets Society', 'Night at the Museum', 'Aladdin', 'Happy Feet', 'Mrs. Doubtfire', 'What Dreams May Come']"
2984,Misconduct,"['Deuces Wild', 'The Death and Life of Bobby Z', 'Survivor', 'Criminal Activities', 'Abandon', 'Stonewall']"
2985,Saw III,"['Me, Myself & Irene', 'School of Rock', '8 Mile', 'Blade', 'Disturbia', 'Disturbia']"
2986,Stripes,"['Caddyshack', 'Little Shop of Horrors', 'Kingpin', 'Wild Things', 'Get Low', 'Space Jam']"
2987,Bring It On,"['Anastasia', 'Small Soldiers', 'The Virgin Suicides', 'Wimbledon', 'Drop Dead Gorgeous', 'Midnight Special']"
2988,The Purge: Election Year,"['The Sentinel', 'No Reservations', 'Sky High', 'The Gambler', 'The Gambler', 'Lakeview Terrace']"
2989,She's All That,"['Zathura: A Space Adventure', 'The Texas Chainsaw Massacre: The Beginning', 'Journey 2: The Mysterious Island', 'In & Out', '3 Men and a Baby', 'Diary of a Wimpy Kid']"
2990,Precious,"['Precious', 'A Serious Man', 'An Inconvenient Truth', 'The Way Way Back', 'Coraline', 'Kung Fu Hustle']"
2991,Saw IV,"['Final Destination 2', 'Freaky Friday', 'Nacho Libre', '13 Going on 30', 'Wrong Turn', 'Saw V']"
2992,White Noise,"['Premonition', 'Dark Water', 'Queen of the Damned', 'Legion', 'Jeepers Creepers II', 'The Last Song']"
2993,Madea's Family Reunion,"['Racing Stripes', 'Howard the Duck', ""Madea's Witness Protection"", 'Like Mike', 'Snow Dogs', 'Under Siege 2: Dark Territory']"
2994,The Color of Money,"['The Last Temptation of Christ', 'The Age of Innocence', 'Shine a Light', 'The Last Waltz', 'Kundun', 'Hugo']"
2995,The Longest Day,"['Fiddler on the Roof', 'Reds', 'The Baader Meinhof Complex', 'Veer-Zaara', 'Rang De Basanti', 'Patton']"
2996,The Mighty Ducks,"['Eye for an Eye', 'Nothing to Lose', 'Private Benjamin', 'Twilight Zone: The Movie', 'Next Friday', 'Tales from the Crypt: Demon Knight']"
2997,The Grudge,"['Saw II', 'Lady in the Water', 'American Pie 2', 'Freddy vs. Jason', 'Dodgeball: A True Underdog Story', 'Dodgeball: A True Underdog Story']"
2998,Happy Gilmore,"['Spanglish', 'Bedtime Stories', ""That's My Boy"", 'The Waterboy', 'Reign Over Me', ""You Don't Mess with the Zohan""]"
2999,Jeepers Creepers,"['House of 1000 Corpses', 'Red Eye', 'Chicken Run', 'Legally Blonde', 'Final Destination', 'Final Destination 2']"
3000,Bill & Ted's Excellent Adventure,"['Hardball', 'The Replacements', ""Bill & Ted's Bogus Journey"", 'My Own Private Idaho', 'Sweet November', ""River's Edge""]"
3001,Oliver!,"['Tora! Tora! Tora!', 'Hamlet', 'The Wailing', 'Lage Raho Munna Bhai', 'Nowhere in Africa', 'Tae Guk Gi: The Brotherhood of War']"
3002,The Best Exotic Marigold Hotel,"['Michael Clayton', 'The Exorcism of Emily Rose', 'Shakespeare in Love', 'In the Bedroom', 'The Debt', 'The Full Monty']"
3003,Recess: School's Out,"['Jonah: A VeggieTales Movie', 'Dirty Work', 'Muppets from Space', 'Out Cold', 'Two Can Play That Game', 'Kevin Hart: Let Me Explain']"
3004,Mad Max Beyond Thunderdome,"['Assault on Precinct 13', 'Basic', 'Vampires', 'Lakeview Terrace', 'Delivery Man', 'Project Almanac']"
3005,Commando,"[""Child's Play"", 'A Nightmare on Elm Street 3: Dream Warriors', 'Johnny English', ""Mr. Bean's Holiday"", ""Nick and Norah's Infinite Playlist"", 'Fantasia 2000']"
3006,The Boy,"['My Big Fat Greek Wedding 2', 'A Very Harold & Kumar 3D Christmas', 'Step Up Revolution', '21 & Over', 'The Green Inferno', 'The Pirates! Band of Misfits']"
3007,Devil,"['Final Destination 5', 'Insidious: Chapter 3', 'Piranha 3D', 'Underworld: Awakening', 'The Possession', 'Priest']"
3008,Friday After Next,"['Sorority Boys', 'Drive Me Crazy', 'The Crew', 'The Goods: Live Hard, Sell Hard', 'See Spot Run', 'Nowhere to Run']"
3009,Insidious: Chapter 3,"['Final Destination 5', 'The Lucky One', 'Krampus', 'Pompeii', 'The Watch', 'The Watch']"
3010,The Last Dragon,"['To Die For', 'Soul Food', 'When the Game Stands Tall', 'La Bamba', 'Return to Oz', 'Young Guns']"
3011,The Lawnmower Man,"['At First Sight', 'Renaissance Man', 'Up Close & Personal', 'For Colored Girls', 'Baby Boy', 'First Knight']"
3012,Nick and Norah's Infinite Playlist,"[""Child's Play"", 'A Nightmare on Elm Street 3: Dream Warriors', ""Mr. Bean's Holiday"", 'The Howling', 'Severance', 'Hocus Pocus']"
3013,Dogma,"['Syriana', 'Syriana', 'Jason Bourne', 'The Bourne Identity', 'The Bourne Supremacy', 'Green Zone']"
3014,The Banger Sisters,"['Win a Date with Tad Hamilton!', 'The Last Days on Mars', 'The Stepfather', 'Blood and Chocolate', 'Dickie Roberts: Former Child Star', 'Nancy Drew']"
3015,Twilight Zone: The Movie,"['Nothing to Lose', 'Because of Winn-Dixie', 'Impostor', ""Can't Hardly Wait"", 'Kissing Jessica Stein', 'An Ideal Husband']"
3016,Road House,"['Blast from the Past', 'Bride & Prejudice', 'Last Holiday', 'Country Strong', 'Running with Scissors', 'Center Stage']"
3017,A Low Down Dirty Shame,"['The Players Club', 'Harriet the Spy', 'Harley Davidson and the Marlboro Man', 'Bright Lights, Big City', 'The Little Vampire', 'How to Deal']"
3018,Swimfan,"['They', 'DOA: Dead or Alive', 'Walking with Dinosaurs 3D', 'Stay Alive', 'The Roommate', 'Anacondas: The Hunt for the Blood Orchid']"
3019,Employee of the Month,"['Just My Luck', 'Mickey Blue Eyes', 'Angel Eyes', 'Babe: Pig in the City', 'Blue Crush', 'Barbershop 2: Back in Business']"
3020,Can't Hardly Wait,"['Twilight Zone: The Movie', 'Nothing to Lose', 'Because of Winn-Dixie', 'Arachnophobia', 'New Nightmare', 'Sliding Doors']"
3021,The Outsiders,"['Days of Thunder', 'The Firm', 'A Few Good Men', 'Knight and Day', 'Valkyrie', 'Jerry Maguire']"
3022,The Dead Zone,"['Ink', 'The Salton Sea', 'White Oleander', 'Narc', 'City Island', '8 Women']"
3023,Sinister 2,"['One for the Money', 'Alex Cross', 'The Lords of Salem', 'Abduction', 'Survival of the Dead', 'All the Boys Love Mandy Lane']"
3024,Sparkle,"['Joyful Noise', 'Roll Bounce', 'Club Dread', 'Georgia Rule', 'Firestarter', 'Brighton Rock']"
3025,Valentine,"['The Cave', 'Highlander: Endgame', 'The Musketeer', 'Black Christmas', 'My Super Ex-Girlfriend', 'The Hills Have Eyes II']"
3026,The Fourth Kind,"['The Last Witch Hunter', ""What to Expect When You're Expecting"", 'The 5th Wave', 'TMNT', 'Max Payne', 'The Losers']"
3027,A Prairie Home Companion,"['Hope Springs', 'The River Wild', 'Lions for Lambs', ""It's Complicated"", 'Florence Foster Jenkins', 'One True Thing']"
3028,Sugar Hill,"['Valley of the Wolves: Iraq', 'City of Ghosts', 'Illuminata', 'The Statement', 'The Last Sin Eater', 'The Perez Family']"
3029,Invasion U.S.A.,"['Bright Lights, Big City', 'The Players Club', 'The Loss of Sexual Innocence', 'Battle of the Year', 'How to Deal', 'Martin Lawrence Live: Runteldat']"
3030,Roll Bounce,"['Sparkle', 'Firestarter', 'Sydney White', 'Womb', 'The Sweeney', 'This Christmas']"
3031,Rushmore,"['The Life Aquatic with Steve Zissou', 'Tootsie', 'Fantastic Mr. Fox', 'St. Vincent', 'The Royal Tenenbaums', 'Wild Things']"
3032,Skyline,"['Aliens vs. Predator: Requiem', 'Final Destination 3', 'Piranha 3D', 'Paranormal Activity 2', 'Priest', 'Brüno']"
3033,The Second Best Exotic Marigold Hotel,"['The Finest Hours', 'Whip It', 'Repo Men', 'The Grandmaster', 'The Water Diviner', 'Draft Day']"
3034,Kit Kittredge: An American Girl,"['Morvern Callar', 'Class of 1984', 'Dear Wendy', 'Tumbleweeds', 'Batman: The Movie', 'Phantasm II']"
3035,The Perfect Man,"['Mr 3000', 'A Guy Thing', 'Aquamarine', 'I Love You, Beth Cooper', 'Joe Somebody', 'Prom']"
3036,Mo' Better Blues,"['He Got Game', 'Malcolm X', 'Inside Man', 'Miracle at St. Anna', 'Bamboozled', 'Get on the Bus']"
3037,Kung Pow: Enter the Fist,"['Without a Paddle', 'Halloween 4: The Return of Michael Myers', 'The Wedding Date', 'Cry_Wolf', 'The Texas Chainsaw Massacre 2', 'Because I Said So']"
3038,Tremors,"['Notes on a Scandal', 'Day of the Dead', 'Day of the Dead', 'Bubba Ho-Tep', 'Stir of Echoes', 'Shaolin Soccer']"
3039,Wrong Turn,"['Friday the 13th Part 2', 'Final Destination 2', 'Saw IV', 'Saw V', 'Music and Lyrics', 'Serendipity']"
3040,The Long Riders,"['Poolhall Junkies', 'Yes', 'Exotica', '24 7: Twenty Four Seven', 'Human Traffic', 'The Mighty']"
3041,The Corruptor,"['Nanny McPhee Returns', 'Georgia Rule', 'Beyond the Valley of the Dolls', 'Sydney White', 'Joyful Noise', ""The Warrior's Way""]"
3042,Mud,"['The Lincoln Lawyer', 'Killer Joe', 'U-571', 'How to Lose a Guy in 10 Days', 'Sahara', 'Frailty']"
3043,Reno 911!: Miami,"['Creepshow 2', 'The Goods: Live Hard, Sell Hard', 'Duplex', 'Thinner', 'Muppets from Space', 'Absentia']"
3044,One Direction: This Is Us,"['RoboCop 3', 'Ishtar', 'Poltergeist III', 'Thunderbirds', 'I Can Do Bad All by Myself', 'Monkeybone']"
3045,"The Goods: Live Hard, Sell Hard","['Thinner', 'Reno 911!: Miami', 'Drive Me Crazy', 'Creepshow 2', 'Muppets from Space', 'The Wraith']"
3046,Hey Arnold! The Movie,"['Screwed', 'The Adventures of Elmo in Grouchland', ""Teacher's Pet"", 'Closure', 'Showdown in Little Tokyo', 'November']"
3047,My Week with Marilyn,"['Buried', 'ParaNorman', 'Trance', 'Never Let Me Go', 'Woman in Gold', 'A Single Man']"
3048,The Matador,"['Shadow of the Vampire', 'Sunshine Cleaning', 'The Jacket', 'Leap Year', 'Project Almanac', 'Quartet']"
3049,Love Jones,"['Aberdeen', 'Duma', 'Songcatcher', 'The Bad News Bears', 'Urbania', 'Dinner Rush']"
3050,The Gift,"['The Gift', 'All Is Lost', 'The Orphanage', 'An Education', ""The Time Traveler's Wife"", 'Kung Fu Hustle']"
3051,End of the Spear,"['Cadillac Records', 'The Chumscrubber', ""Jesus' Son"", 'Clean', 'Bon voyage', 'Snow Angels']"
3052,Get Over It,"['Bubble Boy', 'Survivor', 'Jane Got a Gun', 'Deuces Wild', 'Detention', 'Knockaround Guys']"
3053,Office Space,"['Before Sunset', 'Airplane!', 'The Crow', 'The Texas Chain Saw Massacre', 'The Texas Chain Saw Massacre', 'Run Lola Run']"
3054,Drop Dead Gorgeous,"['Wimbledon', 'Anastasia', 'Small Soldiers', 'Bring It On', 'Crazy/Beautiful', 'Bachelorette']"
3055,Big Eyes,"['Frankenweenie', 'Beetlejuice', 'Mars Attacks!', 'Batman Returns', 'Planet of the Apes', 'Planet of the Apes']"
3056,Very Bad Things,"['Birth', 'The Family Stone', 'The Craft', 'Saved!', 'New Nightmare', 'Pet Sematary']"
3057,Sleepover,"['Jawbreaker', 'Catch That Kid', 'Happy Christmas', 'Hoot', 'Baggage Claim', 'Zambezia']"
3058,Body Double,"['Lady in White', 'El crimen del padre Amaro', 'Tea with Mussolini', 'Zero Effect', 'Ondine', 'The Hoax']"
3059,MacGruber,"['Cry_Wolf', 'Sorority Row', 'Whiteout', 'The Stepfather', 'The Guilt Trip', 'The Last Days on Mars']"
3060,Dirty Pretty Things,"['Maria Full of Grace', 'Me and You and Everyone We Know', 'Narc', 'The Dead Zone', 'City Island', 'The Damned United']"
3061,Movie 43,"['Flushed Away', 'Pan', 'Pan', 'Someone Like You...', 'Swordfish', 'Kate & Leopold']"
3062,The Tourist,"['The Tourist', 'Transcendence', 'Rango', 'Black Mass', 'Alice Through the Looking Glass', 'Finding Neverland']"
3063,Over Her Dead Body,"['The Informers', 'Woman on Top', 'The Crocodile Hunter: Collision Course', 'Vampire Killers', 'Strange Wilderness', 'D.E.B.S.']"
3064,Seeking a Friend for the End of the World,"['The Raven', 'Safety Not Guaranteed', 'An Education', 'Paddington', 'Monsters', 'All Is Lost']"
3065,Cedar Rapids,"['Cyrus', 'Hatchet', 'The Howling', 'Severance', 'For Your Consideration', 'Wanderlust']"
3066,American History X,"['Requiem for a Dream', ""One Flew Over the Cuckoo's Nest"", 'The Shining', ""Pan's Labyrinth"", 'Amélie', 'The Truman Show']"
3067,The Collection,"['All the Boys Love Mandy Lane', '21 & Over', 'Maniac', 'Runner Runner', 'Grabbers', 'Hatchet']"
3068,Teacher's Pet,"['The Adventures of Elmo in Grouchland', 'Hey Arnold! The Movie', 'November', 'Ultramarines: A Warhammer 40,000 Movie', 'Screwed', 'Closure']"
3069,The Red Violin,"['The Verdict', 'The Apostle', 'The Wind That Shakes the Barley', ""Angela's Ashes"", 'Vera Drake', 'All That Jazz']"
3070,The Straight Story,"['Solaris', 'Volver', 'The Painted Veil', 'The Kite Runner', 'House of Sand and Fog', 'Ghost Dog: The Way of the Samurai']"
3071,Deuces Wild,"['Misconduct', 'Get Over It', 'Survivor', 'Criminal Activities', 'Abandon', 'The Death and Life of Bobby Z']"
3072,Bad Words,"['Hot Rod', 'Miss Potter', 'The Joneses', 'Fido', 'Obvious Child', 'Tristram Shandy: A Cock and Bull Story']"
3073,"Run, Fatboy, Run","['Stake Land', 'Igby Goes Down', 'Pontypool', 'Shopgirl', 'The Cooler', 'Redbelt']"
3074,Heartbeeps,"['All Superheroes Must Die', 'Unnatural', 'Dudley Do-Right', 'Chain Letter', 'Stan Helsing', ""The Devil's Tomb""]"
3075,Black or White,"['Mystery, Alaska', 'Dark Blue', 'Ironclad', ""Won't Back Down"", 'Center Stage', 'Goal! The Dream Begins']"
3076,On the Line,"['Whipped', ""The Devil's Tomb"", 'Hansel & Gretel Get Baked', 'Stan Helsing', 'Soul Survivors', 'I Got the Hook Up']"
3077,Rescue Dawn,"['Velvet Goldmine', ""I'm Not There."", 'Little Women', 'The Flowers of War', 'Out of the Furnace', ""Captain Corelli's Mandolin""]"
3078,Danny Collins,"['Escobar: Paradise Lost', 'Bad Moms', 'Nerve', 'Beyond the Lights', 'Do You Believe?', 'The Brave Little Toaster']"
3079,"Jeff, Who Lives at Home","['American Dreamz', 'Love Happens', 'What Planet Are You From?', 'The Hebrew Hammer', 'Barry Munday', 'The Specials']"
3080,I Am Love,"['Monsoon Wedding', 'Taking Woodstock', 'Pollock', 'Bright Star', 'The Way of the Gun', 'Infamous']"
3081,Atlas Shrugged II: The Strike,"['Sublime', 'A Thin Line Between Love and Hate', 'I Dreamed of Africa', 'I Come with the Rain', 'The Young Messiah', 'Shalako']"
3082,Romeo Is Bleeding,"['Basquiat', 'The Magic Sword: Quest for Camelot', 'Criminal', 'The Scarlet Letter', 'The Unborn', 'The Unborn']"
